,Name,Age,Height,Weight,Fuente,Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento
0,Alicia,28.0,,75.0,data.csv,,,,,,,,
1,,24.0,160.0,1655.0,data.csv,,,,,,,,
2,Julio,30.0,180.0,702.0,data.csv,,,,,,,,
3,Ronny,,60.0,165.0,data.csv,,,,,,,,
0,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
1,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
2,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
3,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
4,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
5,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
6,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
7,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
8,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
9,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
10,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
11,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
12,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
13,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
14,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
15,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
16,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
17,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
18,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
19,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
20,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
21,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
22,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
23,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
24,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
25,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
26,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
27,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
28,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
29,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
30,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
31,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
32,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
33,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
34,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
35,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
36,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
37,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
38,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
39,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
40,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
41,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
42,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
43,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
44,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
45,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
46,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
47,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
48,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
49,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
50,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
51,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
52,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
53,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
54,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
55,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
56,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
57,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
58,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
59,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
60,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
61,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
62,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
63,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
64,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
65,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
66,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
67,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
68,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
69,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
70,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
71,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
72,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
73,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
74,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
75,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
76,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
77,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
78,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
79,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
80,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
81,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
82,Bob,30.0,180.0,80.0,datapersonas.csv,,,,,,,,
83,Diana,22.0,165.0,60.0,datapersonas.csv,,,,,,,,
84,John,28.0,175.0,70.0,datapersonas.csv,,,,,,,,
85,Alice,24.0,160.0,55.0,datapersonas.csv,,,,,,,,
