,Name,Age,Height,Weight,Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento
0,Alicia,28.0,,75.0,,,,,,,,
1,,24.0,160.0,1655.0,,,,,,,,
2,Julio,30.0,180.0,702.0,,,,,,,,
3,Ronny,,60.0,165.0,,,,,,,,
0,John,28.0,175.0,70.0,,,,,,,,
1,Alice,24.0,160.0,55.0,,,,,,,,
2,Bob,30.0,180.0,80.0,,,,,,,,
3,Diana,22.0,165.0,60.0,,,,,,,,
4,John,28.0,175.0,70.0,,,,,,,,
5,Alice,24.0,160.0,55.0,,,,,,,,
6,Bob,30.0,180.0,80.0,,,,,,,,
7,Diana,22.0,165.0,60.0,,,,,,,,
8,John,28.0,175.0,70.0,,,,,,,,
9,Alice,24.0,160.0,55.0,,,,,,,,
10,Bob,30.0,180.0,80.0,,,,,,,,
11,Diana,22.0,165.0,60.0,,,,,,,,
12,John,28.0,175.0,70.0,,,,,,,,
13,Alice,24.0,160.0,55.0,,,,,,,,
14,Bob,30.0,180.0,80.0,,,,,,,,
15,Diana,22.0,165.0,60.0,,,,,,,,
16,John,28.0,175.0,70.0,,,,,,,,
17,Alice,24.0,160.0,55.0,,,,,,,,
18,Bob,30.0,180.0,80.0,,,,,,,,
19,Diana,22.0,165.0,60.0,,,,,,,,
20,John,28.0,175.0,70.0,,,,,,,,
21,Alice,24.0,160.0,55.0,,,,,,,,
22,Bob,30.0,180.0,80.0,,,,,,,,
23,Diana,22.0,165.0,60.0,,,,,,,,
24,John,28.0,175.0,70.0,,,,,,,,
25,Alice,24.0,160.0,55.0,,,,,,,,
26,Bob,30.0,180.0,80.0,,,,,,,,
27,Diana,22.0,165.0,60.0,,,,,,,,
28,John,28.0,175.0,70.0,,,,,,,,
29,Alice,24.0,160.0,55.0,,,,,,,,
30,Bob,30.0,180.0,80.0,,,,,,,,
31,Diana,22.0,165.0,60.0,,,,,,,,
32,John,28.0,175.0,70.0,,,,,,,,
33,Alice,24.0,160.0,55.0,,,,,,,,
34,Bob,30.0,180.0,80.0,,,,,,,,
35,Diana,22.0,165.0,60.0,,,,,,,,
36,John,28.0,175.0,70.0,,,,,,,,
37,Alice,24.0,160.0,55.0,,,,,,,,
