,Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento,fecha,columna,numeros,cumple_regex,tofloat,columna_numerica,columna_fecha,columna_nueva
0,Linda Garza,+29 (768)624-2270,992830,217.77 lbs,5.68 ft,Holy See (Vatican City State),A+,1986-03-21,1986-03-21,Linda Garza,,,992830,992830,,992830
1,Shawn Walton,7222428589,431926,60.67 kg,177.90 cm,Latvia,B+,12/02/1970 21:02:48,,Shawn Walton,,,431926,431926,,431926
2,Briana Le,318.938.8422x37,909293,88.51 kg,156.65 cm,Iceland,AB-,,,Briana Le,,,909293,909293,,909293
3,Dr. Joseph Davidson Jr.,(809)206-1483,589451,83.42 kg,171.96 cm,Cape Verde,O+,01/11/1987 09:26:58,,Dr. Joseph Davidson Jr.,,,589451,589451,,589451
4,Maria Murphy,(420)689-5028x5,347991,73.92 kg,169.94 cm,,AB-,06/12/1967 16:23:32,,Maria Murphy,,,347991,347991,,347991
5,Dorothy Stafford,283.335.1727x86,nan,98.42 kg,154.58 cm,Romania,AB+,20/12/1980 16:17:33,,Dorothy Stafford,,,0,0,,0
6,Daniel Webster,287.631.8491x68,152430,87.95 kg,185.72 cm,Benin,O-,26/04/1973 05:03:06,,Daniel Webster,,,152430,152430,,152430
7,Casey Williams,500.413.1558x66,616038,57.77 kg,171.90 cm,Ethiopia,O+,07/05/1988 21:06:42,,Casey Williams,,,616038,616038,,616038
8,Lucas Serrano,980-379-6597x02,56543,62.33 kg,173.91 cm,Guinea,O-,20/02/1985 11:27:44,,Lucas Serrano,,,56543,56543,,56543
9,Megan Andrews DDS,4276839925,744225,80.19 kg,151.58 cm,Greece,O-,06/06/1955 12:26:10,,Megan Andrews DDS,,,744225,744225,,744225
10,Crystal Smith,,851255,50.54 kg,183.67 cm,Jersey,AB-,14/08/1981 12:43:25,,Crystal Smith,,,851255,851255,,851255
11,Elizabeth Thomas,+1-964-480-9866,21432,79.11 kg,191.15 cm,Botswana,B+,04/11/1957 02:06:56,,Elizabeth Thomas,,,21432,21432,,21432
12,Oscar Craig,934.719.6151,522906,73.84 kg,172.77 cm,Malaysia,AB-,26/08/1973 08:08:37,,Oscar Craig,,,522906,522906,,522906
13,valor_por_defecto,(259)273-7334x1,692787,55.04 kg,162.18 cm,South Georgia and the South Sandwich Islands,A-,24/05/1966 14:18:19,,valor_por_defecto,,,692787,692787,,692787
14,Ronald Meza,346.245.3042x37,685702,92.61 kg,173.47 cm,Indonesia,O+,03/03/1978 03:12:13,,Ronald Meza,,,685702,685702,,685702
15,John Zuniga,001-868-697-884,169000,96.41 kg,162.04 cm,Pitcairn Islands,O+,02/09/1956 12:10:19,,John Zuniga,,,169000,169000,,169000
